time,open,high,low,close,tick_volume,spread,real_volume,datetime
1738052100,1.04298,1.04343,1.0428,1.0428,1041,9,0,2025-01-28 08:15:00
1738053000,1.04279,1.04344,1.04243,1.04328,1019,9,0,2025-01-28 08:30:00
1738053900,1.04327,1.04327,1.0419,1.04249,1104,9,0,2025-01-28 08:45:00
1738054800,1.04251,1.04326,1.04222,1.04323,1035,9,0,2025-01-28 09:00:00
1738055700,1.04323,1.04419,1.04316,1.0441,951,9,0,2025-01-28 09:15:00
1738056600,1.0441,1.04438,1.04393,1.04403,861,9,0,2025-01-28 09:30:00
1738057500,1.04403,1.0441,1.04318,1.0435,849,9,0,2025-01-28 09:45:00
1738058400,1.04347,1.04369,1.0431300000000001,1.04339,776,9,0,2025-01-28 10:00:00
1738059300,1.04339,1.04366,1.04292,1.04314,707,9,0,2025-01-28 10:15:00
1738060200,1.0431300000000001,1.04353,1.04298,1.0434,593,9,0,2025-01-28 10:30:00
1738061100,1.04339,1.0434,1.04246,1.04247,799,9,0,2025-01-28 10:45:00
1738062000,1.04244,1.04322,1.04236,1.04317,607,9,0,2025-01-28 11:00:00
1738062900,1.04317,1.04317,1.0427,1.04276,527,9,0,2025-01-28 11:15:00
1738063800,1.04276,1.04293,1.04228,1.04254,535,9,0,2025-01-28 11:30:00
1738064700,1.04254,1.04273,1.04223,1.04231,641,9,0,2025-01-28 11:45:00
1738065600,1.04233,1.04242,1.04135,1.0419,1067,9,0,2025-01-28 12:00:00
1738066500,1.0419,1.04209,1.04142,1.042,714,9,0,2025-01-28 12:15:00
1738067400,1.04198,1.04226,1.04167,1.04222,654,9,0,2025-01-28 12:30:00
1738068300,1.04223,1.04251,1.04167,1.04199,726,9,0,2025-01-28 12:45:00
1738069200,1.04196,1.04237,1.0417,1.04228,772,9,0,2025-01-28 13:00:00
1738070100,1.0423,1.0428,1.04225,1.0425,779,8,0,2025-01-28 13:15:00
1738071000,1.04247,1.04309,1.04233,1.04291,1081,9,0,2025-01-28 13:30:00
1738071900,1.0429,1.04299,1.04205,1.04245,931,9,0,2025-01-28 13:45:00
1738072800,1.04243,1.04295,1.04237,1.04286,941,9,0,2025-01-28 14:00:00
1738073700,1.04285,1.04341,1.04278,1.04315,766,9,0,2025-01-28 14:15:00
1738074600,1.04316,1.04406,1.04306,1.04322,1073,9,0,2025-01-28 14:30:00
1738075500,1.04322,1.04336,1.04278,1.04314,1089,9,0,2025-01-28 14:45:00
1738076400,1.04315,1.04378,1.04315,1.04367,1039,9,0,2025-01-28 15:00:00
1738077300,1.04369,1.04375,1.0432,1.04368,967,9,0,2025-01-28 15:15:00
1738078200,1.04366,1.04393,1.04302,1.04308,879,9,0,2025-01-28 15:30:00
1738079100,1.04305,1.04321,1.04207,1.04238,1077,9,0,2025-01-28 15:45:00
1738080000,1.0424,1.04327,1.04233,1.04281,898,9,0,2025-01-28 16:00:00
1738080900,1.0428,1.043,1.04257,1.04268,902,9,0,2025-01-28 16:15:00
1738081800,1.04268,1.04301,1.04221,1.04236,890,9,0,2025-01-28 16:30:00
1738082700,1.04236,1.04267,1.0422,1.04258,803,9,0,2025-01-28 16:45:00
1738083600,1.04257,1.04285,1.04242,1.04265,605,9,0,2025-01-28 17:00:00
1738084500,1.04266,1.04293,1.04248,1.0427,541,9,0,2025-01-28 17:15:00
1738085400,1.0427,1.04342,1.04254,1.04303,523,9,0,2025-01-28 17:30:00
1738086300,1.04303,1.0432,1.04266,1.04277,488,9,0,2025-01-28 17:45:00
1738087200,1.04279,1.04298,1.04262,1.04284,599,9,0,2025-01-28 18:00:00
1738088100,1.04284,1.0435699999999999,1.04281,1.04343,472,9,0,2025-01-28 18:15:00
1738089000,1.04343,1.04378,1.04248,1.04251,944,9,0,2025-01-28 18:30:00
1738089900,1.04251,1.04276,1.04229,1.04261,708,9,0,2025-01-28 18:45:00
1738090800,1.04261,1.04288,1.0423,1.04234,570,9,0,2025-01-28 19:00:00
1738091700,1.04234,1.04272,1.0422,1.04267,447,9,0,2025-01-28 19:15:00
1738092600,1.04266,1.04321,1.04265,1.04316,436,9,0,2025-01-28 19:30:00
1738093500,1.04318,1.04363,1.04318,1.04344,490,9,0,2025-01-28 19:45:00
1738094400,1.04346,1.04346,1.04291,1.04323,500,9,0,2025-01-28 20:00:00
1738095300,1.04323,1.0435,1.04314,1.04329,453,9,0,2025-01-28 20:15:00
1738096200,1.04327,1.04338,1.04305,1.04317,423,9,0,2025-01-28 20:30:00
1738097100,1.04317,1.04333,1.04298,1.04314,439,9,0,2025-01-28 20:45:00
